"","Year","Party","Votes","Weights","Country","Index"
"80",2013,"PdL",21.53,1,"IT",0.2153
"81",2013,"LN",4.08,2,"IT",0.0816
"82",2013,"SEL",3.2,-1,"IT",-0.032
"83",2018,"Five Star Movement",32.66,0.2,"IT",0.06532
"84",2018,"Democratic Party",18.72,-1,"IT",-0.1872
"85",2018,"League",17.37,2,"IT",0.3474
"86",2018,"Forza Italia",14.01,1,"IT",0.1401
"87",2018,"Brothers of Italy",4.35,1,"IT",0.0435
"88",2018,"Free and Equal",3.38,-2,"IT",-0.0676
"89",2018,"More Europe",2.55,-1.5,"IT",-0.03825
"90",2018,"Us with Italy–UdC",1.3,1,"IT",0.013
"91",2018,"Power to the People",1.13,-1.5,"IT",-0.01695
"92",2018,"CasaPound Italy",0.94,2,"IT",0.0188
"93",2018,"The People of Family",0.66,1.5,"IT",0.0099
"94",2018,"Italy for the Italians (FN–FT)",0.38,2,"IT",0.0076
"95",1990,"CDU.CSU",43.82,0.5,"DE",0.2191
"96",1994,"CDU.CSU",41.43,0.5,"DE",0.20715
"97",1998,"CDU.CSU",35.18,0.5,"DE",0.1759
"98",2002,"CDU.CSU",38.51,0.5,"DE",0.19255
"99",2005,"CDU.CSU",35.17,0.5,"DE",0.17585
"100",2009,"CDU.CSU",33.8,0.5,"DE",0.169
"101",1990,"SPD",33.46,-1,"DE",-0.3346
"102",1994,"SPD",36.39,-1,"DE",-0.3639
"103",1998,"SPD",40.93,-1,"DE",-0.4093
"104",2002,"SPD",38.52,-1,"DE",-0.3852
"105",2005,"SPD",34.25,-1,"DE",-0.3425
"106",2009,"SPD",23.03,-1,"DE",-0.2303
"107",1990,"Linke",2.43,-2,"DE",-0.0486
"108",1994,"Linke",4.39,-2,"DE",-0.0878
"109",1998,"Linke",5.05,-2,"DE",-0.101
"110",2002,"Linke",3.99,-2,"DE",-0.0798
"111",2005,"Linke",8.71,-2,"DE",-0.1742
"112",2009,"Linke",11.89,-2,"DE",-0.2378
"113",1990,"Rep",2.13,1,"DE",0.0213
"114",1994,"Rep",1.86,1,"DE",0.0186
"115",1998,"Rep",1.84,1,"DE",0.0184
"116",2002,"Rep",0.58,1,"DE",0.0058
"117",2005,"Rep",0.56,1,"DE",0.0056
"118",2009,"Rep",0.45,1,"DE",0.0045
"119",1990,"NPD",0.31,2,"DE",0.0062
"120",1998,"NPD",0.26,2,"DE",0.0052
"121",2002,"NPD",0.45,2,"DE",0.009
"122",2005,"NPD",1.58,2,"DE",0.0316
"123",2009,"NPD",1.47,2,"DE",0.0294
"124",1998,"DVU",1.22,2,"DE",0.0244
"125",2013,"Christian Democratic Union (CDU)[a]",37.2,0.5,"DE",0.186
"126",2013,"Social Democratic Party (SPD)",29.4,-0.5,"DE",-0.147
"127",2013,"The Left (DIE LINKE)",8.2,-1.5,"DE",-0.123
"128",2013,"Christian Social Union in Bavaria (CSU)[a]",8.1,1,"DE",0.081
"129",2013,"Free Democratic Party (FDP)",2.4,0.5,"DE",0.012
"130",2013,"Alternative for Germany (AfD)",1.9,1.7,"DE",0.0323
"131",2013,"National Democratic Party (NPD)",1.5,2,"DE",0.03
"132",2017,"Christian Democratic Union(CDU)[c]",30.2,0.5,"DE",0.151
"133",2017,"Social Democratic Party(SPD)",24.6,-0.5,"DE",-0.123
"134",2017,"Alternative for Germany(AfD)[d]",11.5,1.5,"DE",0.1725
"135",2017,"Free Democratic Party(FDP)",7,0.5,"DE",0.035
"136",2017,"The Left (DIE LINKE)",8.6,-1.5,"DE",-0.129
"137",2017,"Christian Social Union in Bavaria (CSU)[c]",7,1,"DE",0.07
"138",2017,"Die PARTEI",0.5,-2,"DE",-0.01
"139",2017,"National Democratic Party",0.1,2,"DE",0.002
"140",1992,"Con",41.93,1,"UK",0.4193
"141",1992,"Lab",34.39,-1,"UK",-0.3439
"142",1992,"LD",17.85,-1,"UK",-0.1785
"143",1997,"Lab",43.21,-1,"UK",-0.4321
"144",1997,"Con",30.69,1,"UK",0.3069
"145",1997,"LD",16.76,-1,"UK",-0.1676
"146",2001,"Lab",40.68,-1,"UK",-0.4068
"147",2001,"Con",31.7,1,"UK",0.317
"148",2001,"LD",18.26,-1,"UK",-0.1826
"149",2005,"Lab",35.19,-1,"UK",-0.3519
"150",2005,"Con",32.36,1,"UK",0.3236
"151",2005,"LD",22.05,-1,"UK",-0.2205
"152",2010,"Con",36.1,1,"UK",0.361
"153",2010,"Lab",29,-1,"UK",-0.29
"154",2010,"LD",23,-1,"UK",-0.23
"155",2010,"UKIP",3.1,2,"UK",0.062
"156",2010,"BNP",1.9,2,"UK",0.038
"157",2010,"ED",0.2,-1,"UK",-0.002
"158",2010,"RUC",0.1,-1,"UK",-0.001
"159",2010,"CP",0.1,-2,"UK",-0.002
"160",2010,"PC",0.6,-1,"UK",-0.006
"161",2010,"SNP",1.7,-1,"UK",-0.017
"162",2015,"Conservative Party",36.8,0.7,"UK",0.2576
"163",2015,"Labour Party",30.4,-0.7,"UK",-0.2128
"164",2015,"Scottish National Party",4.7,-0.5,"UK",-0.0235
"165",2015,"Liberal Democrats",7.9,-0.5,"UK",-0.0395
"166",2015,"Democratic Unionist Party",0.6,2,"UK",0.012
"167",2015,"Sinn Féin",0.6,-1.5,"UK",-0.009
"168",2015,"Plaid Cymru",0.6,-1,"UK",-0.006
"169",2015,"Social Democratic & Labour Party",0.3,-0.5,"UK",-0.0015
"170",2015,"Ulster Unionist Party",0.4,0.5,"UK",0.002
"171",2015,"UK Independence Party",12.6,2,"UK",0.252
"172",2017,"Conservative",42,0.7,"UK",0.294
"173",2017,"Labour",40,-0.7,"UK",-0.28
"174",2017,"Liberal Democrat",7,-0.5,"UK",-0.035
"175",2017,"Scottish National",3,-0.5,"UK",-0.015
"176",2017,"UK Independence",2,2,"UK",0.04
"177",2017,"Democratic Unionist",1,-0.5,"UK",-0.005
"178",2017,"Sinn Féin",1,-1.5,"UK",-0.015
"179",2017,"Plaid Cymru",1,-1,"UK",-0.01
"180",1990,"FIDESZ",8.95,2,"HU",0.179
"181",1994,"FIDESZ",7.02,2,"HU",0.1404
"182",1998,"FIDESZ",28.18,2,"HU",0.5636
"183",2002,"FIDESZ",41.07,2,"HU",0.8214
"184",2006,"FIDESZ",42.03,2,"HU",0.8406
"185",2010,"FIDESZ",52.73,2,"HU",1.0546
"186",1990,"MSZP",10.9,-1,"HU",-0.109
"187",1994,"MSZP",32.99,-1,"HU",-0.3299
"188",1998,"MSZP",32.25,-1,"HU",-0.3225
"189",2002,"MSZP",42.05,-1,"HU",-0.4205
"190",2006,"MSZP",43.21,-1,"HU",-0.4321
"191",2010,"MSZP",19.3,-1,"HU",-0.193
"192",2010,"Jobbik",16.67,2,"HU",0.3334
"193",2010,"LMP",7.48,-1,"HU",-0.0748
"194",1990,"MDF",24.73,-1,"HU",-0.2473
"195",1994,"MDF",11.74,-1,"HU",-0.1174
"196",1998,"MDF",3.12,-1,"HU",-0.0312
"197",2006,"MDF",5.04,-1,"HU",-0.0504
"198",2010,"MDF",2.67,-1,"HU",-0.0267
"199",1990,"SZDSZ",21.4,-1,"HU",-0.214
"200",1994,"SZDSZ",19.74,-1,"HU",-0.1974
"201",1998,"SZDSZ",7.88,-1,"HU",-0.0788
"202",2002,"SZDSZ",5.57,-1,"HU",-0.0557
"203",2006,"SZDSZ",6.5,-1,"HU",-0.065
"204",1990,"FKgP",11.74,1,"HU",0.1174
"205",1994,"FKgP",8.82,1,"HU",0.0882
"206",1998,"FKgP",13.78,1,"HU",0.1378
"207",1994,"Munk.sp.rt",3.19,-2,"HU",-0.0638
"208",1998,"Munk.sp.rt",4.08,-2,"HU",-0.0816
"209",2002,"Munk.sp.rt",2.16,-2,"HU",-0.0432
"210",1990,"KDNP",6.46,1,"HU",0.0646
"211",1994,"KDNP",7.03,1,"HU",0.0703
"212",1998,"KDNP",2.59,1,"HU",0.0259
"213",1994,"KP.Cons",2.55,1,"HU",0.0255
"214",1990,"MSzMP",3.69,-1.5,"HU",-0.05535
"215",1990,"MSZDP",3.55,-1,"HU",-0.0355
"216",1990,"ASZ",3.14,1,"HU",0.0314
"217",1994,"ASZ",2.1,1,"HU",0.021
"218",1990,"HVK",1.87,-1,"HU",-0.0187
"219",2014,"Fidesz – Hungarian Civic Union(Fidesz)",44.87,1.7,"HU",0.76279
"220",2014,"Hungarian Socialist Party(MSZP)",25.57,-0.5,"HU",-0.12785
"221",2014,"Movement for a Better Hungary (Jobbik)",20.22,2,"HU",0.4044
"222",2014,"Hungarian Workers' Party (Munkáspárt)",0.56,-2,"HU",-0.0112
"223",2014,"The Homeland Not For Sale Movement Party(HNEM)",0.47,1.5,"HU",0.00705
"224",2018,"Fidesz – Christian Democratic People's Party",49.27,1.7,"HU",0.83759
"225",2018,"Jobbik – Movement for a Better Hungary",19.06,2,"HU",0.3812
"226",2018,"Hungarian Socialist Party– Dialogue for Hungary",11.91,-0.5,"HU",-0.05955
"227",2018,"Democratic Coalition",5.37,-0.5,"HU",-0.02685
"228",2018,"Momentum Movement",3.06,0.7,"HU",0.02142
"229",2018,"Hungarian Two-tailed Dog Party",1.73,-1,"HU",-0.0173
"230",2018,"Together",0.66,-1,"HU",-0.0066
"231",2018,"National Self-Government of Germans in Hungary",0.46,0.5,"HU",0.0023
"232",2018,"Hungarian Workers' Party",0.27,-2,"HU",-0.0054
"233",2018,"Hungarian Justice and Life Party",0.15,1,"HU",0.0015
"234",2002,"UMP",33.37,0.5,"FR",0.16685
"235",2007,"UMP",39.54,0.5,"FR",0.1977
"236",1993,"PCF",9.14,-2,"FR",-0.1828
"237",1997,"PCF",9.88,-2,"FR",-0.1976
"238",2002,"PCF",4.91,-2,"FR",-0.0982
"239",2007,"PCF",4.29,-2,"FR",-0.0858
"240",1993,"PS",17.52,-1,"FR",-0.1752
"241",1997,"PS",23.82,-1,"FR",-0.2382
"242",2002,"PS",23.78,-1,"FR",-0.2378
"243",2007,"PS",24.73,-1,"FR",-0.2473
"244",1993,"PRG",0.92,-2,"FR",-0.0184
"245",1997,"PRG",1.46,-2,"FR",-0.0292
"246",2002,"PRG",1.51,-2,"FR",-0.0302
"247",2007,"PRG",1.32,-2,"FR",-0.0264
"248",1993,"UDF",18.98,0.5,"FR",0.0949
"249",1997,"UDF",14.4,0.5,"FR",0.072
"250",2002,"UDF",4.79,0.5,"FR",0.02395
"251",1993,"RPR",20.25,1,"FR",0.2025
"252",1997,"RPR",15.42,1,"FR",0.1542
"253",1993,"FN",12.69,2,"FR",0.2538
"254",1997,"FN",15.25,2,"FR",0.305
"255",2002,"FN",11.12,2,"FR",0.2224
"256",2007,"FN",4.29,2,"FR",0.0858
"257",1993,"DivD",4.83,1,"FR",0.0483
"258",1997,"DivD",6.33,1,"FR",0.0633
"259",2002,"DivD",3.89,1,"FR",0.0389
"260",2007,"DivD",2.47,1,"FR",0.0247
"261",1993,"Verts",4.11,-1,"FR",-0.0411
"262",1997,"Verts",6.97,-1,"FR",-0.0697
"263",2002,"Verts",4.44,-1,"FR",-0.0444
"264",2007,"Verts",3.25,-1,"FR",-0.0325
"265",1997,"DivG",2.55,-1,"FR",-0.0255
"266",2002,"DivG",1.38,-1,"FR",-0.0138
"267",2007,"DivG",1.97,-1,"FR",-0.0197
"268",1993,"DivEG",1.74,-2,"FR",-0.0348
"269",1997,"DivEG",2.57,-2,"FR",-0.0514
"270",2002,"DivEG",0.32,-2,"FR",-0.0064
"271",2007,"DivEG",3.41,-2,"FR",-0.0682
"272",1993,"DivED",0.28,2,"FR",0.0056
"273",1997,"DivED",0.11,2,"FR",0.0022
"274",2002,"DivED",0.25,2,"FR",0.005
"275",2007,"DivED",0.39,2,"FR",0.0078
"276",2007,"NC",2.37,0.5,"FR",0.01185
"277",2012,"PS",29.35,-1,"FR",-0.2935
"278",2012,"DVG",3.4,-1,"FR",-0.034
"279",2012,"EELV",5.46,-1,"FR",-0.0546
"280",2012,"PRG",1.65,-2,"FR",-0.033
"281",2012,"UMP",27.12,0.5,"FR",0.1356
"282",2012,"DVD",3.51,1,"FR",0.0351
"283",2012,"NC",2.2,0.5,"FR",0.011
"284",2012,"PRV",1.24,2,"FR",0.0248
"285",2012,"FDG",6.91,-2,"FR",-0.1382
"286",2012,"FN",13.6,2,"FR",0.272
"287",2012,"REG",0.56,0.5,"FR",0.0028
"288",2012,"EXD",0.19,2,"FR",0.0038
"289",2012,"EXG",0.98,-2,"FR",-0.0196
"290",2017,"LR",15.77,1,"FR",0.1577
"291",2017,"UDI",3.03,1,"FR",0.0303
"292",2017,"DVD",2.76,1,"FR",0.0276
"293",2017,"PS",7.44,-1,"FR",-0.0744
"294",2017,"DVG",1.6,-1,"FR",-0.016
"295",2017,"PRG",0.47,-2,"FR",-0.0094
"296",2017,"FI",11.03,-2,"FR",-0.2206
"297",2017,"PCF",2.72,-2,"FR",-0.0544
"298",2017,"FN",13.2,2,"FR",0.264
"299",2017,"REG",0.9,0.5,"FR",0.0045
"300",2017,"DLF",1.17,-0.5,"FR",-0.00585
"301",2017,"EXD",0.3,2,"FR",0.006
"302",2017,"EXG",0.77,-2,"FR",-0.0154
